n,layer,scale,core_bound,gap_threshold,connected_max_core,connected_count,carrier_endpoint,first_blocking_left,first_blocking_right,first_blocking_gap
46,1,1,24726553787403193575874580719,21845,49786217,34440,49786217,49786217,49809375,23158
46,2,2,12363276893701596787937290359,24904031,377630859375,460959,755311504967,377630859375,377656336629,25477254
46,3,4,6181638446850798393968645179,188827881703,9327107601883071,3095862,37309185719037251,9327107601883071,9327298099640625,190497757554
46,4,8,3090819223425399196984322589,4663648214882387,329182348809878825625,10245320,2633496099664749642251,329182348809878825625,329187350009763984375,5001199885158750
46,5,16,1545409611712699598492161294,164593506229046854006,13250220558903267737706909,19665818,212006162438551948552952795,13250220558903267737706909,13250389594193630033203125,169035290362295496216
46,6,32,772704805856349799246080647,6625192576204748392280457,772704513124322817339217917,22618189,24938550582416882103407926139,,,NONE
47,1,1,169516712224674565219483890061,21845,63955203,46139,63955203,63955203,63977375,22172
47,2,2,84758356112337282609741945030,31988524,759895949475,749791,1519855854153,759895949475,759928294125,32344650
47,3,4,42379178056168641304870972515,379963968999,34473438131527395,5809809,137895272381963733,34473438131527395,34473820093453125,381961925730
47,4,8,21189589028084320652435486257,17236909047748197,2885171994922013671875,20999736,23081513854648491338733,2885171994922013671875,2885189560321911161913,17565399897490038
47,5,16,10594794514042160326217743128,1442594615915530710036,198971483727654029970703125,40436010,3183566821156319128022588733,198971483727654029970703125,198973030680206071108194375,1546952552041137491250
47,6,32,5297397257021080163108871564,99486463161134972750706580,5297396864373356149613074869,45072254,172700266481103715915640984541,,,NONE
48,1,1,1174446233220674217835300192240,21845,63955203,46139,63955203,63955203,63977375,22172
48,2,2,587223116610337108917650096120,31988524,759895949475,749810,1519855854153,759895949475,759928294125,32344650
48,3,4,293611558305168554458825048060,379963968999,34473438131527395,5815268,137895272381963733,34473438131527395,34473820093453125,381961925730
48,4,8,146805779152584277229412524030,17236909047748197,2885171994922013671875,21143542,23081513854648491338733,2885171994922013671875,2885189560321911161913,17565399897490038
48,5,16,73402889576292138614706262015,1442594615915530710036,226125281233688141830078125,41487479,3618027581252864917772588733,226125281233688141830078125,226126831833918085898953125,1550600229944068875000
48,6,32,36701444788146069307353131007,113063361914152028680394080,36701419924550241990007003125,48751484,1178063465166860608597996688733,,,NONE
49,1,1,8221123632544719524847101345683,21845,63955203,46171,63955203,63955203,63977375,22172
49,2,2,4110561816272359762423550672841,31988524,759895949475,756948,1519855854153,759895949475,759928294125,32344650
49,3,4,2055280908136179881211775336420,379963968999,34473438131527395,6061954,137895272381963733,34473438131527395,34473820093453125,381961925730
49,4,8,1027640454068089940605887668210,17236909047748197,3057129417951849188949,23448410,24457173238887175475325,3057129417951849188949,3057146719200944803125,17301249095614176
49,5,16,513820227034044970302943834105,1528573327430448468573,270155026505439273807984375,49168539,4322504881260267268103225325,270155026505439273807984375,270156610737573234120871425,1584232133960312887050
49,6,32,256910113517022485151471917052,135078277539383352128226474,256909939471851693930049021875,62081094,8225440567980514473029671925325,,,NONE
50,1,1,58132122695453537232069776546341,21845,63955203,46172,63955203,63955203,63977375,22172
50,2,2,29066061347726768616034888273170,31988524,759895949475,757894,1519855854153,759895949475,759928294125,32344650
50,3,4,14533030673863384308017444136585,379963968999,34473438131527395,6133662,137895272381963733,34473438131527395,34473820093453125,381961925730
50,4,8,7266515336931692154008722068292,17236909047748197,3057129417951849188949,24454870,24457173238887175475325,3057129417951849188949,3057146719200944803125,17301249095614176
50,5,16,3633257668465846077004361034146,1528573327430448468573,279542126668558783025390625,53700532,4472698483870179415581725325,279542126668558783025390625,279543691064311376559938235,1564395752593534547610
50,6,32,1816628834232923038502180517073,139771827620943106736929599,1816628573431520246311566778125,73292397,58136587048292518061385718625325,,,NONE
