n,r,M,v2_factorial,legal_layer_count,layers_used,odd_core_divisor_count,X,Y,W,carrier_endpoint,occupied_through,margin,reaches_full_endpoint,term_bound
12,10,99,10,11,2,60,21886,7295,340,8505,8845,1550,True,12
13,11,106,10,11,2,120,78911,26303,681,31995,32676,6373,True,13
14,11,112,11,12,2,180,295259,98419,681,103635,104316,5897,True,13
15,11,118,11,12,3,288,1143535,381178,681,559845,560526,179348,True,14
16,12,123,15,16,3,288,4574143,1524714,1364,2015013,2016377,491663,True,15
17,12,129,15,16,3,576,18859614,6286538,1364,6984425,6985789,699251,True,15
18,12,134,16,17,3,768,80014834,26671611,1364,27056225,27057589,385978,True,15
19,12,139,16,17,3,1536,348776576,116258858,1364,119012733,119014097,2755239,True,15
20,12,144,18,19,4,1920,1559776268,519925422,1364,691526565,691527929,171602507,True,16
21,13,149,18,19,4,2880,7147792819,2382597606,2729,3722786739,3722789468,1340191862,True,17
22,13,153,19,20,4,4320,33526120082,11175373360,2729,13749449571,13749452300,2574078940,True,17
23,13,158,19,20,4,8640,160785623545,53595207848,2729,61296008333,61296011062,7700803214,True,17
24,13,162,22,23,4,9600,787685471323,262561823774,2729,269981678309,269981681038,7419857264,True,17
25,13,166,22,23,4,13440,3938427356614,1312809118871,2729,1328229623581,1328229626310,15420507439,True,17
26,14,170,23,24,5,20160,20082117944246,6694039314748,5460,13301385379569,13301385385029,6607346070281,True,19
27,14,174,23,24,5,26208,104349745809073,34783248603024,5460,45450196957809,45450196963269,10666948360245,True,19
28,14,178,25,26,5,32760,552166953567228,184055651189076,5460,206198478287677,206198478293137,22142827104061,True,19
29,14,182,25,26,5,65520,2973510046012909,991170015337636,5460,1461843197476875,1461843197482335,470673182144699,True,19
30,14,186,26,27,5,80640,16286585271694954,5428861757231651,5460,6329305228093155,6329305228098615,900443470866964,True,19
31,14,190,26,27,5,161280,91101483990124572,30367161330041524,5460,34062581585410702,34062581585416162,3695420255374638,True,19
32,14,193,31,32,5,161280,515349052071178139,171783017357059379,5460,175480914113159221,175480914113164681,3697896756105302,True,19
33,14,197,31,32,5,230400,2958675611923125400,986225203974375133,5460,995655284426722599,995655284426728059,9430080452352926,True,19
34,15,200,32,33,5,345600,17251155967551542357,5750385322517180785,10921,5816284098842788608,5816284098842799529,65898776325618744,True,20
35,15,204,32,33,5,466560,102050052963896619468,34016684321298873156,10921,34107777660954333298,34107777660954344219,91093339655471063,True,20
36,15,207,34,35,5,528768,611735786595519716814,203911928865173238938,10921,203988268915871495461,203988268915871506382,76340050698267444,True,20
37,15,210,34,35,5,1057536,3721046355165020232957,1240348785055006744319,10921,1241234579493623767108,1241234579493623778029,885794438617033710,True,20
38,15,214,35,36,5,1586304,22894202892317662132687,7631400964105887377562,10921,7633228434112937928980,7633228434112937939901,1827470007050562339,True,20
39,15,217,35,36,6,2239488,142539109700841836962833,47513036566947278987611,10921,88363123625533909737284,88363123625533909748205,40850087058586630760594,True,21
40,15,221,38,39,6,2488320,901500554668861148872897,300500184889620382957632,10921,346727343270739271947937,346727343270739271958858,46227158381118889001226,True,21
41,15,224,38,39,6,4976640,5773307574820364838596544,1924435858273454946198848,10921,2409805542455537019096337,2409805542455537019107258,485369684182082072908410,True,21
42,15,227,39,40,6,6128640,37422376291081449768680451,12474125430360483256226817,10921,13123502565628906642781161,13123502565628906642792082,649377135268423386565265,True,21
43,16,230,39,40,6,12257280,245678710435134436251714136,81892903478378145417238045,21844,117464987368230303059271865,117464987368230303059293709,35572083889852157642055664,True,22
44,16,230,41,42,6,15321600,1630420674178430788228519563,543473558059476929409506521,21844,608248962567403565371996795,608248962567403565372018639,64775404507926635962512118,True,22
45,16,232,41,42,6,18627840,11005340010979155226347171276,3668446670326385075449057092,21844,3760425228038003325635000996,3760425228038003325635022840,91978557711618250185965748,True,22
