n,block_index,q_block,q,t,phi_abs,direct_divisor_vector_phi_abs,crosscheck_abs_error,max_phase_residual_cycles,max_scaled_residual,divisor_vector_count,scan_phi_abs_binary64
3,2,"[100000, 999999]",190537,1.727164608686656053810059650856033088019431936951377678448102E+6,9.999999999999572595306443445911105087830898032345457502104389E-1,9.999999999999573000000000000000000000000000000000000000000000E-1,4.046935565540888949121691019676545424978956114438769498340695E-17,9.306465434894283701488587043124220149773618394225646170276697E-8,1.861293086978856740297717408624844029954723678845129234055339E-7,4,0.99999999999995748
4,2,"[100000, 999999]",190537,1.727164608686656053810059650856033088019431936951377678448102E+6,9.999999999999572595306443445911105087830898032345457502104389E-1,9.999999999999573000000000000000000000000000000000000000000000E-1,4.046935565540888949121691019676545424978956114438769498340695E-17,9.306465434894283701488587043124220149773618394225646170276697E-8,1.861293086978856740297717408624844029954723678845129234055339E-7,8,0.99999999999995748
5,3,"[1000000, 2000000]",1251764,1.134689052114835086382957382972415542593593999656761851128605E+7,9.999994339686029390692338280662000505302193227688269639618189E-1,9.999994339686029000000000000000000000000000000000000000000000E-1,3.906923382806620005053021932276882696396181892718369296739792E-17,2.472826536787419245681054157287796777692291378396652341410167E-4,4.945653073574838491362108314575593555384582756793304682820334E-4,16,0.99999943396864821
6,3,"[1000000, 2000000]",1251764,1.134689052114835086382957382972415542593593999656761851128605E+7,9.999989310408947739738323074454065171053888503231252339112204E-1,9.999989310408952000000000000000000000000000000000000000000000E-1,4.260261676925545934828946111496768747660887795937222244111550E-16,2.472826536787419245681054157287796777692291378396652341410167E-4,7.418479610362257737043162471863390333076874135189957024230502E-4,30,0.99999893104180215
7,2,"[100000, 999999]",103169,9.351981269443395162909568436532855962772415515271925332497743E+5,9.998129408843456289028776422048319210455354975185957240307397E-1,9.998129408843455000000000000000000000000000000000000000000000E-1,1.289028776422048319210455354975185957240307396937019494261180E-16,3.763099037915599206891847718607758707372774421473840454383649E-3,1.128929711374679762067554315582327612211832326442152136315095E-2,60,0.99981294088546524
8,2,"[100000, 999999]",103169,9.351981269443395162909568436532855962772415515271925332497743E+5,9.998129408843456289028776422048319210455354975185957240307397E-1,9.998129408843451000000000000000000000000000000000000000000000E-1,5.289028776422048319210455354975185957240307396937019494261180E-16,3.763099037915599206891847718607758707372774421473840454383649E-3,1.128929711374679762067554315582327612211832326442152136315095E-2,96,0.99981294088546524
9,3,"[1000000, 2000000]",1961789,1.778306854055005743319136499678910812972049187380879443060940E+7,9.997421934872926558350150631037076509134109105059999656989057E-1,9.997421934872929000000000000000000000000000000000000000000000E-1,2.441649849368962923490865890894940000343010943226067395768017E-16,5.188465104334473544882916130253070983527489361869490454072191E-3,1.037693020866894708976583226050614196705497872373898090814438E-2,160,0.99974219347659243
10,3,"[1000000, 2000000]",1961789,1.778306854055005743319136499678910812972049187380879443060940E+7,9.995637106203294029962308635849447498583537543817082690721326E-1,9.995637106203299000000000000000000000000000000000000000000000E-1,4.970037691364150552501416462456182917309278673796228565523299E-16,5.188465104334473544882916130253070983527489361869490454072191E-3,1.397704892080150175022431620884092485892910307697313451502596E-2,270,0.99956371058590154
11,3,"[1000000, 2000000]",1161483,1.052851850921974909517558014167966263335768834623247453301425E+7,9.963488288076242159592306778075727433318419796121373585629365E-1,9.963488288076230000000000000000000000000000000000000000000000E-1,1.215959230677807572743331841979612137358562936533881281785375E-15,1.693623219152402084848637854311280552860703109584785182354837E-2,3.387246438304804169697275708622561105721406219169570364709674E-2,540,0.99634882879540776
12,3,"[1000000, 2000000]",1161483,1.052851850921974909517558014167966263335768834623247453301425E+7,9.963479152311604567408591766877853180415119097975580065644773E-1,9.963479152311586000000000000000000000000000000000000000000000E-1,1.856740859176687785318041511909797558006564477312194252722411E-15,1.693623219152402084848637854311280552860703109584785182354837E-2,3.387246438304804169697275708622561105721406219169570364709674E-2,792,0.99634791521867694
