n,y,tail_prime_count,theorem_hypothesis_2y_le_sqrt_n,maximizing_prime,B_squared,M,M_over_B,supplied_script_span_over_B,supplied_script_to_theorem_ratio
500,2,94,True,3,1.87679294681664636335945039881585696349170888957562E+4,1.35678617650511546887312786759931924523965083891110E+2,9.90383118120682551076553570593707879875306006113185E-1,1.98076623624136510215310714118741575975061201222637E+0,2.00000000000000000000000000000000000000000000000000E+0
500,3,93,True,5,1.25820143067617778516506750336496069861440596284447E+4,9.97851505709142232252470786600236336505872839646481E+1,8.89591920024530591596200912608441225214032770408754E-1,1.77918384004906118319240182521688245042806554081751E+0,2.00000000000000000000000000000000000000000000000000E+0
500,5,92,True,7,9.20945621379951195302609238514917031234308430353225E+3,7.97823161112678455093194624811703689151204739128563E+1,8.31360997614869293399701407564074070123458765966233E-1,1.66272199522973858679940281512814814024691753193247E+0,2.00000000000000000000000000000000000000000000000000E+0
500,7,91,True,11,7.03596715289473722904776934521157124754811903512650E+3,5.87484341835600783295176176601456678456318179214667E+1,7.00381061677334867917753918633763067162965912206028E-1,1.40076212335466973583550783726752613432593182441206E+0,2.00000000000000000000000000000000000000000000000000E+0
500,10,91,True,11,7.03596715289473722904776934521157124754811903512650E+3,5.87484341835600783295176176601456678456318179214667E+1,7.00381061677334867917753918633763067162965912206028E-1,1.40076212335466973583550783726752613432593182441206E+0,2.00000000000000000000000000000000000000000000000000E+0
500,20,87,False,23,3.70962786970293510274851499440848527448888534137008E+3,3.29226892672560717534709047340070592436449933058246E+1,5.40542853839711054068453616229647905545451764348230E-1,1.08108570767942210813690723245929581109090352869646E+0,2.00000000000000000000000000000000000000000000000000E+0
500,25,86,False,29,3.31391707958339768698583061764485542633423298947251E+3,2.86220145548850292310578122750762486467033597683433E+1,4.97198007496075821595439930086201946202451531739723E-1,9.94396014992151643190879860172403892404903063479445E-1,2.00000000000000000000000000000000000000000000000000E+0
500,50,80,False,53,2.00393816874659818096182215490336019228210878183037E+3,1.78663136109845482536501111256307599666198998881005E+1,3.99110169858752643327558525922438393287463070578605E-1,7.98220339717505286655117051844876786574926141157211E-1,2.00000000000000000000000000000000000000000000000000E+0
1000,2,167,True,3,7.52137872219101706266504326324731635806092177051420E+4,2.73554459878359313157416063993708900457225148897865E+2,9.97459040872055975545540316969965079041192383339946E-1,1.99491808174411195109108063393993015808238476667989E+0,2.00000000000000000000000000000000000000000000000000E+0
1000,3,166,True,5,5.01695962850490945863920158125988208730261032625856E+4,2.00375020098045496637794536986660361120937368606430E+2,8.94588427495268478815578003049776908749819888431374E-1,1.78917685499053695763115600609955381749963977686275E+0,2.00000000000000000000000000000000000000000000000000E+0
1000,5,165,True,7,3.66787163406015359331573901758458260140983538493941E+4,1.59564632222535691018638924962340737830240947825713E+2,8.33162225769814739168294907264654320554633127486734E-1,1.66632445153962947833658981452930864110926625497347E+0,2.00000000000000000000000000000000000000000000000000E+0
1000,7,164,True,11,2.80882595760731405955287800656162678056230149314094E+4,1.17496868367120156659035235320291335691263635842933E+2,7.01074024821632533290491523099133225056187145319769E-1,1.40214804964326506658098304619826645011237429063954E+0,2.00000000000000000000000000000000000000000000000000E+0
1000,10,164,True,11,2.80882595760731405955287800656162678056230149314094E+4,1.17496868367120156659035235320291335691263635842933E+2,7.01074024821632533290491523099133225056187145319769E-1,1.40214804964326506658098304619826645011237429063954E+0,2.00000000000000000000000000000000000000000000000000E+0
1000,20,160,False,23,1.49511934774014676153203762369240077216397103573307E+4,6.89808727504412931977485622998243146057323669264896E+1,5.64145013840012050486917920091857524082775053265907E-1,1.12829002768002410097383584018371504816555010653181E+0,2.00000000000000000000000000000000000000000000000000E+0
1000,25,159,False,29,1.32929768330910251111719845628668921674678338350933E+4,5.89276770247632954757072605663334530961539759936480E+1,5.11102725965541927301660151023035357004072729286167E-1,1.02220545193108385460332030204607071400814545857233E+0,2.00000000000000000000000000000000000000000000000000E+0
1000,50,153,False,53,8.09193867463117462458757541830546137855930950379180E+3,3.57326272219690965073002222512615199332397997762010E+1,3.97226905703999647922835422535795380608975076398400E-1,7.94453811407999295845670845071590761217950152796799E-1,2.00000000000000000000000000000000000000000000000000E+0
