n,tau,divisor_count,mean_abs_difference,variance_abs_difference,local_windows_checked,minimum_slack,tight_window_count
2,2,2,0.000000000000000000000000000000000000000000000000000000000000E-20,0.000000000000000000000000000000000000000000000000000000000000E-20,10,0,7
3,4,4,1.000000000000000000000000000000000000000000000000000000000000E-80,1.000000000000000000000000000000000000000000000000000000000000E-80,40,0,6
4,8,8,1.000000000000000000000000000000000000000000000000000000000000E-79,3.000000000000000000000000000000000000000000000000000000000000E-80,80,0,8
5,16,16,1.000000000000000000000000000000000000000000000000000000000000E-79,0.000000000000000000000000000000000000000000000000000000000000E-19,240,1,0
6,30,30,0.000000000000000000000000000000000000000000000000000000000000E-19,1.000000000000000000000000000000000000000000000000000000000000E-79,450,1,0
7,60,60,3.000000000000000000000000000000000000000000000000000000000000E-79,2.000000000000000000000000000000000000000000000000000000000000E-79,1200,4,0
8,96,96,2.000000000000000000000000000000000000000000000000000000000000E-79,1.000000000000000000000000000000000000000000000000000000000000E-79,1920,3,0
9,160,160,1.000000000000000000000000000000000000000000000000000000000000E-79,3.000000000000000000000000000000000000000000000000000000000000E-79,3200,7,0
10,270,270,1.000000000000000000000000000000000000000000000000000000000000E-78,3.000000000000000000000000000000000000000000000000000000000000E-79,5400,11,0
11,540,540,6.000000000000000000000000000000000000000000000000000000000000E-79,2.200000000000000000000000000000000000000000000000000000000000E-78,13500,25,0
12,792,792,3.000000000000000000000000000000000000000000000000000000000000E-79,0.000000000000000000000000000000000000000000000000000000000000E-18,19800,27,0
